Time (s),Comp Pitch without Low Pass
0.0025191307067871094,-0.23584106284656656
0.10516905784606934,-0.28650246186851075
0.2078688144683838,-0.23176456247426633
0.31055736541748047,-0.2554970398545965
0.41323041915893555,-0.24568881990780184
0.5160415172576904,-0.23773356598925469
0.618710994720459,-0.27167072176542967
0.721416711807251,-0.3130848106046413
0.8241875171661377,-0.2823897998391088
0.926933765411377,-0.25150402076356254
1.0296862125396729,-0.2746362430822846
1.132455825805664,-0.21930569992539867
1.2351768016815186,-0.2336824800605115
1.3381226062774658,-0.24509959953500954
1.4407975673675537,-0.26197044402503794
1.5434720516204834,-0.26200830766794203
1.6462271213531494,-0.22204335687344393
1.7490179538726807,-0.23921208630783108
1.8517515659332275,-0.29129572964988776
1.9545230865478516,-0.28574316373992414
2.057419776916504,-0.29351502403955787
2.1602838039398193,-0.24417568394935096
2.2630391120910645,-0.2828139972989235
2.3657193183898926,-0.29076652949334586
2.4683735370635986,-0.30034268249683016
2.5710864067077637,-0.280571023704687
2.675673007965088,-0.2761822799165534
2.7784388065338135,-0.26179652258013975
2.881124258041382,-0.25152533938763955
2.9838104248046875,-0.26555751367448194
3.086569309234619,-0.2668358334492048
3.1892337799072266,-0.2778815117794666
3.2919251918792725,-0.2676190851738641
3.394606113433838,-0.2896645151293441
3.4972524642944336,-0.2774662765628765
3.5999135971069336,-0.28771870095765767
3.702617645263672,-0.32660793951411893
3.8053884506225586,-0.3062247457669295
3.9081127643585205,-0.2982284678784013
4.0107643604278564,-0.29217425924244833
4.1133644580841064,-0.36573921470625476
4.215989112854004,-3.630686696454859
4.318659782409668,1.4466469814357539
4.421283483505249,5.800160531790759
4.5238847732543945,-5.476992235296204
4.6265175342559814,10.431570213985013
4.729140758514404,-9.89947951629885
4.831808090209961,16.54584859211894
4.934515953063965,-6.20887318184289
5.03728985786438,7.053770013940924
5.140046119689941,7.789299631087185
5.2427544593811035,-8.74265177984573
5.345669507980347,11.624118643775912
5.44832968711853,-8.262608921964642
5.551069021224976,15.366374293525347
5.653829336166382,-10.984214050514241
5.756669521331787,15.750656549536915
5.8594114780426025,-5.951905292357086
5.962130069732666,17.19996292513781
6.064882040023804,1.2128168865833742
6.167649030685425,5.9082190269708255
6.270375967025757,11.984881004188246
6.37312126159668,-8.743627672967092
6.4759299755096436,12.106376931920051
6.578663110733032,-9.501291029042054
6.681386232376099,11.446699363465566
6.784219741821289,-10.232556047571139
6.886932373046875,15.886688641161463
6.98969578742981,-11.708769327763086
7.092501163482666,17.405477653927406
7.195209980010986,-11.140193208569295
7.297976016998291,17.93105126750754
7.400729417800903,-10.468745130819215
7.5034730434417725,18.707948846702234
7.606234312057495,-6.272759584163478
7.712115049362183,16.15460787747265
7.818126440048218,-2.605647121960483
7.924079179763794,6.473202800940087
8.030074834823608,11.51771339371794
8.136006593704224,-0.13226646409881904
8.2418851852417,0.3564892456201487
8.34777021408081,0.6709795928103188
8.453669786453247,0.6270118431235137
8.559596538543701,0.6212920424136403
8.665595531463623,0.6428845315592251
8.770505905151367,0.5555116520193081
8.876537799835205,0.5839311997819552
8.982563495635986,0.621379198464927
9.08850622177124,0.5869031566164534
9.194566249847412,0.5787884691441361
9.300601482391357,0.5979650446738366
9.405895709991455,0.6056276886329285
9.51181411743164,0.5906228443929508
9.61772108078003,0.5934668228376876
9.72357988357544,0.6158932326030201
9.829561471939087,0.6481336476805996
9.935442209243774,0.6947241153288733
10.041297912597656,1.0193911536381188
10.147143125534058,2.966711743300152
10.253113746643066,5.558745598877955
10.35901951789856,8.457962591029972
10.464898586273193,10.781103345090798
10.570825576782227,14.693603933051975
10.67668890953064,20.74613377240493
10.782657861709595,26.830584894675408
10.88852834701538,32.061943585957145
10.99452543258667,37.560962839832534
11.100436210632324,44.249997943032156
11.206404209136963,51.72721700905812
11.312268733978271,58.84775615584873
11.41823959350586,64.55398971291305
11.524102687835693,68.92994964180676
11.630008220672607,73.3494166758879
11.735882997512817,77.82629855976728
11.841876745223999,80.96075924320903
11.947781801223755,81.42192893767631
12.053714036941528,83.28341857949104
12.159611940383911,85.90476753887879
12.265437841415405,86.0725343729846
12.371283531188965,87.73346097427799
12.476866960525513,88.50201326266566
12.581593990325928,88.85670647090205
12.687722206115723,90.23295120156004
12.79334306716919,90.36603581254855
12.89872145652771,89.28127145864673
13.00465178489685,89.93280793938067
13.110587120056152,89.58524397839739
13.21649169921875,89.2477298831876
13.322445154190063,89.36235067612179
13.428394317626953,89.80433475417405
13.534358739852905,90.0646733805602
13.640260219573975,90.69931993721569
13.74620246887207,91.0391866942744
13.852182388305664,91.27148480670783
